Mariusz Felisiak,felixxm,https://twitter.com/MariuszFelisiak,TRUE,Toruń/ Poland,Undefined
Mac Chapman,veryhappythings,http://www.veryhappythings.co.uk,TRUE,Witney/ UK,Undefined
Xiang Wang,ramwin,https://www.ramwin.com/,FALSE,Shanghai/ China,china
Nick Smith,nimasmi,,FALSE,,blank field
Marc Dequènes (Duck),duck-rh,,FALSE,,blank field
Sergey Fedoseev,sir-sigurd,,TRUE,Chelyabinsk/ Russia,russia
Hasan Ramezani,hramezani,http://stackoverflow.com/users/3465428/hasan-ramezani,TRUE,Berlin,germany
Jon Dufresne,jdufresne,http://jondufresne.org/,TRUE,Vancouver/ BC/ Canada,canada
Jon Dufresne,jdufresne,http://jondufresne.org/,TRUE,Vancouver/ BC/ Canada,canada
Jon Dufresne,jdufresne,http://jondufresne.org/,TRUE,Vancouver/ BC/ Canada,canada
Hasan Ramezani,hramezani,http://stackoverflow.com/users/3465428/hasan-ramezani,TRUE,Berlin,germany
Jon Dufresne,jdufresne,http://jondufresne.org/,TRUE,Vancouver/ BC/ Canada,canada
Can Sarıgöl,cansarigol,,FALSE,,blank field
Andrea Rabbaglietti,silverfix,http://silverfix.github.io,TRUE,Foggia/ Italy,italy
Jon Dufresne,jdufresne,http://jondufresne.org/,TRUE,Vancouver/ BC/ Canada,canada
,smurdock1,,FALSE,,blank field
Jon Dufresne,jdufresne,http://jondufresne.org/,TRUE,Vancouver/ BC/ Canada,canada
Jon Dufresne,jdufresne,http://jondufresne.org/,TRUE,Vancouver/ BC/ Canada,canada
Jon Dufresne,jdufresne,http://jondufresne.org/,TRUE,Vancouver/ BC/ Canada,canada
Sergey Fedoseev,sir-sigurd,,TRUE,Chelyabinsk/ Russia,russia
∞,jpic,http://yourlabs.org,FALSE,Somewhere in Poitou Charente/ France,Undefined
Eric Brandwein,ericbrandwein,,TRUE,,blank field
Jon Dufresne,jdufresne,http://jondufresne.org/,FALSE,Vancouver/ BC/ Canada,canada
Jon Dufresne,jdufresne,http://jondufresne.org/,TRUE,Vancouver/ BC/ Canada,canada
Jon Dufresne,jdufresne,http://jondufresne.org/,TRUE,Vancouver/ BC/ Canada,canada
Jon Dufresne,jdufresne,http://jondufresne.org/,TRUE,Vancouver/ BC/ Canada,canada
Jon Dufresne,jdufresne,http://jondufresne.org/,TRUE,Vancouver/ BC/ Canada,canada
Jon Dufresne,jdufresne,http://jondufresne.org/,FALSE,Vancouver/ BC/ Canada,canada
Sergey Fedoseev,sir-sigurd,,TRUE,Chelyabinsk/ Russia,russia
Waket Zheng,waketzheng,,FALSE,Guangzhou,china
Tim Graham,timgraham,,TRUE,Philadelphia/ PA,united states
Jon Dufresne,jdufresne,http://jondufresne.org/,TRUE,Vancouver/ BC/ Canada,canada
Jon Dufresne,jdufresne,http://jondufresne.org/,TRUE,Vancouver/ BC/ Canada,canada
Jon Dufresne,jdufresne,http://jondufresne.org/,TRUE,Vancouver/ BC/ Canada,canada
Sergey Fedoseev,sir-sigurd,,TRUE,Chelyabinsk/ Russia,russia
Sergey Fedoseev,sir-sigurd,,TRUE,Chelyabinsk/ Russia,russia
Jon Dufresne,jdufresne,http://jondufresne.org/,TRUE,Vancouver/ BC/ Canada,canada
Claude Paroz,claudep,http://www.2xlibre.net,TRUE,Switzerland,switzerland
Claude Paroz,claudep,http://www.2xlibre.net,TRUE,Switzerland,switzerland
Abhinav Patil,Ubadub,https://abhinavpatil.com,TRUE,New York,united states
Abhinav Patil,Ubadub,https://abhinavpatil.com,FALSE,New York,united states
Abhinav Patil,Ubadub,https://abhinavpatil.com,FALSE,New York,united states
Tim Graham,timgraham,,TRUE,Philadelphia/ PA,united states
Sergey Fedoseev,sir-sigurd,,TRUE,Chelyabinsk/ Russia,russia
Jon Dufresne,jdufresne,http://jondufresne.org/,TRUE,Vancouver/ BC/ Canada,canada
Stephen James,StephenOrJames,https://stephenorjames.com/,TRUE,,blank field
Florian Apolloner,apollo13,,TRUE,,blank field
Sergey Fedoseev,sir-sigurd,,FALSE,Chelyabinsk/ Russia,russia
Sergey Fedoseev,sir-sigurd,,TRUE,Chelyabinsk/ Russia,russia
Jon Dufresne,jdufresne,http://jondufresne.org/,TRUE,Vancouver/ BC/ Canada,canada
Jon Dufresne,jdufresne,http://jondufresne.org/,TRUE,Vancouver/ BC/ Canada,canada
Ramon Saraiva,ramonsaraiva,http://ramonsaraiva.github.io,TRUE,Novo Hamburgo/ Brazil,brazil
Mariusz Felisiak,felixxm,https://twitter.com/MariuszFelisiak,TRUE,Toruń/ Poland,Undefined
Paweł Kołodziej,pkol,http://wuch.pl,TRUE,Warsaw/ Poland,poland
Jon Dufresne,jdufresne,http://jondufresne.org/,TRUE,Vancouver/ BC/ Canada,canada
Sergey Fedoseev,sir-sigurd,,TRUE,Chelyabinsk/ Russia,russia
Sergey Fedoseev,sir-sigurd,,TRUE,Chelyabinsk/ Russia,russia
Borys Vorona,borysvorona,,FALSE,Ukraine,ukraine
Apoorv Patne,apoorvpatne10,https://www.facebook.com/Watsky.Wrath,FALSE,Pune,india
Oluwasogo Oluwafemi Ogundowole,elseagle,,FALSE,Ile-Ife/ Nigeria ,Undefined
Jon Dufresne,jdufresne,http://jondufresne.org/,TRUE,Vancouver/ BC/ Canada,canada
Jon Dufresne,jdufresne,http://jondufresne.org/,FALSE,Vancouver/ BC/ Canada,canada
Jon Dufresne,jdufresne,http://jondufresne.org/,TRUE,Vancouver/ BC/ Canada,canada
Jon Dufresne,jdufresne,http://jondufresne.org/,TRUE,Vancouver/ BC/ Canada,canada
Jon Dufresne,jdufresne,http://jondufresne.org/,TRUE,Vancouver/ BC/ Canada,canada
Jon Dufresne,jdufresne,http://jondufresne.org/,TRUE,Vancouver/ BC/ Canada,canada
François Freitag,francoisfreitag,,TRUE,,blank field
Junyoung_Choi,cupjoo,cupjoo.tistory.com/,TRUE,Seoul/ South Korea,korea
,ovalseven8,,TRUE,,blank field
Javier Buzzi,kingbuzzman,javier.buzzi.me,FALSE,Miami,united states
Jannis,jnns,,FALSE,Berlin/ Germany,germany
Terence Honles,terencehonles,terence.honles.com,FALSE,,blank field
Mariusz Felisiak,felixxm,https://twitter.com/MariuszFelisiak,TRUE,Toruń/ Poland,Undefined
Tim Graham,timgraham,,TRUE,Philadelphia/ PA,united states
Javier Buzzi,kingbuzzman,javier.buzzi.me,TRUE,Miami,united states
Adam Johnson,adamchainz,https://adamj.eu/tech/,TRUE,London,united kingdom
Oleg,K0Te,,TRUE,,blank field
Matthew Power,mthpower,http://mthpower.uk,TRUE,London,united kingdom
Stefano Chiodino,StefanoChiodino,https://Stefano.Chiodino.uk,TRUE,Leeds,united kingdom
Kate Berry,IgnatiusFlo,,TRUE,Oxford UK,Undefined
oliver,MyungSeKyo,,FALSE,Seoul/ South Korea,korea
Alexey,WouldYouKindly,twitter.com/forestbiiird,TRUE,Moscow/ Russia,russia
,cammil,,TRUE,,blank field
Thomas Grainger,graingert,https://graingert.co.uk,TRUE,,blank field
Ian Foote,Ian-Foote,,TRUE,,blank field
Ian Foote,Ian-Foote,,TRUE,,blank field
Ian Foote,Ian-Foote,,TRUE,,blank field
Ian Foote,Ian-Foote,,TRUE,,blank field
Mariusz Felisiak,felixxm,https://twitter.com/MariuszFelisiak,TRUE,Toruń/ Poland,Undefined
Marten Kenbeek,knbk,,TRUE,Eindhoven/ The Netherlands,netherlands
Claude Paroz,claudep,http://www.2xlibre.net,TRUE,Switzerland,switzerland
Philippe Luickx,philippeluickx,,FALSE,Tampere,finland
Windson yang,Windsooon,https://windsooon.github.io/,FALSE,China,china
Tim Graham,timgraham,,TRUE,Philadelphia/ PA,united states
Mariusz Felisiak,felixxm,https://twitter.com/MariuszFelisiak,FALSE,Toruń/ Poland,Undefined
Sergey Fedoseev,sir-sigurd,,TRUE,Chelyabinsk/ Russia,russia
Sergey Fedoseev,sir-sigurd,,TRUE,Chelyabinsk/ Russia,russia
Mariusz Felisiak,felixxm,https://twitter.com/MariuszFelisiak,TRUE,Toruń/ Poland,Undefined
Can Sarıgöl,cansarigol,,FALSE,,blank field
Jani Tiainen,jtiai,,TRUE,,blank field
Mariusz Felisiak,felixxm,https://twitter.com/MariuszFelisiak,TRUE,Toruń/ Poland,Undefined
Adam Johnson,adamchainz,https://adamj.eu/tech/,TRUE,London,united kingdom
Simon Charette,charettes,http://charettes.name,TRUE,Montréal/ Québec,canada
Mariusz Felisiak,felixxm,https://twitter.com/MariuszFelisiak,TRUE,Toruń/ Poland,Undefined
Rémy HUBSCHER,Natim,https://keybase.io/natim,FALSE,Rennes,france
Przemysław Buczkowski,przemub,,TRUE,London/ UK,united kingdom
Nick Pope,pope1ni,https://www.flightdataservices.com/,TRUE,Fareham/ UK,Undefined
Adam Zapletal,adamzap,http://adamzap.com,TRUE,Louisiana/ USA,united states
Jonas Haag,jonashaag,https://cashlink.io,FALSE,Frankfurt am Main/ Germany,Undefined
